variant,description,tokenizer,stemming,lemmatization,advanced_normalization,training_rows,validation_rows,train_time_sec,accuracy,precision,recall,f1,macro_f1,roc_auc,stage,model,analyzer,ngram_range,min_df,max_features,svd_n_components,prediction_time_sec,scoring_time_sec,parameter_count,C,macro_precision,macro_recall,class_0_precision,class_0_recall,class_0_f1,class_1_precision,class_1_recall,class_1_f1,alpha,hidden_layer_sizes,learning_rate_init,embedding_dim,hidden_dim,dropout,learning_rate,batch_size,max_epochs,patience,max_sequence_length,max_vocab_size,split,rows,tweets_per_second,run_timestamp_utc,random_state,selected_preprocessing_variant,device
advanced_tweet_stem,Advanced normalization + TweetTokenizer + stemming,tweet,True,False,True,200000,40000.0,0.8920969159999856,0.794275,0.7895979924223786,0.80235,0.795922922401607,0.7942615846980436,0.87192566,preprocessing_ablation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-26 04:23:19.126010+00:00,42,advanced_tweet_stem,mps
advanced_whitespace,Advanced normalization + whitespace tokenizer,whitespace,False,False,True,200000,40000.0,1.3723946659999982,0.79035,0.7853562653562653,0.7991,0.7921685254027262,0.7903339474428511,0.8700933275,preprocessing_ablation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-26 04:23:19.126010+00:00,42,advanced_tweet_stem,mps
advanced_tweet_tokenizer,Advanced normalization + TweetTokenizer,tweet,False,False,True,200000,40000.0,0.7482038339999946,0.79035,0.7853562653562653,0.7991,0.7921685254027262,0.7903339474428511,0.8700933275,preprocessing_ablation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-26 04:23:19.126010+00:00,42,advanced_tweet_stem,mps
advanced_tweet_lemma,Advanced normalization + TweetTokenizer + lemmatization,tweet,False,True,True,200000,40000.0,0.6097291659999939,0.790125,0.7849810913019989,0.79915,0.7920021803225886,0.7901079041576111,0.8699973000000001,preprocessing_ablation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-26 04:23:19.126010+00:00,42,advanced_tweet_stem,mps
basic_whitespace,Lowercase + whitespace cleanup baseline,whitespace,False,False,False,200000,40000.0,0.7890928330000015,0.788025,0.7830573436194782,0.7968,0.7898689003989988,0.7880086765355987,0.8678716737500001,preprocessing_ablation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-26 04:23:19.126010+00:00,42,advanced_tweet_stem,mps
,,,,,,250000,,111.020966542,0.7855375,0.8044596683904676,0.7544625,0.7786593389581237,0.7853302029029156,0.8641511914843749,validation_search,LSTM Sequence Model,sequence_tokens,,,20000.0,,,,1313345.0,,0.7866447002687639,0.7855375,0.7688297321470602,0.8166125,0.7920010668477074,0.8044596683904676,0.7544625,0.7786593389581237,,,,64.0,64.0,0.2,0.001,1024.0,2.0,1.0,32.0,20000.0,,,,2026-04-26 04:23:19.126010+00:00,42,advanced_tweet_stem,mps
,,,,,,1280000,,11.34558666700002,0.800125,0.7913905677322265,0.8151125,0.803076392566411,0.8000800929596437,0.879557810078125,validation_search,Linear SVM,word,"(1, 2)",5.0,5000.0,,0.006815042000084759,0.0049705000000130894,5001.0,0.5,0.8003949050098982,0.800125,0.8093992422875699,0.7851375,0.7970837933528763,0.7913905677322265,0.8151125,0.803076392566411,,,,,,,,,,,,,,,,2026-04-26 04:23:19.126010+00:00,42,advanced_tweet_stem,mps
,,,,,,1280000,,12.507704625000088,0.8001,0.7913804403233246,0.8150625,0.8030469106001453,0.80005523708503,0.879554868046875,validation_search,Linear SVM,word,"(1, 2)",5.0,5000.0,,0.004846958000030099,0.004114999999956126,5001.0,1.0,0.8003689821130577,0.8001,0.809357523902791,0.7851375,0.7970635635699148,0.7913804403233246,0.8150625,0.8030469106001453,,,,,,,,,,,,,,,,2026-04-26 04:23:19.126010+00:00,42,advanced_tweet_stem,mps
,,,,,,1280000,,239.93563904100006,0.79568125,0.7886560825899667,0.80785,0.7981376623216238,0.795650990309958,0.87482812546875,validation_search,Linear SVM,char_wb,"(3, 5)",5.0,20000.0,,0.09537941700000374,0.028676124999947206,20001.0,0.5,0.7958564899132299,0.7956812499999999,0.8030568972364932,0.7835125,0.7931643182982924,0.7886560825899667,0.80785,0.7981376623216238,,,,,,,,,,,,,,,,2026-04-26 04:23:19.126010+00:00,42,advanced_tweet_stem,mps
,,,,,,1280000,,281.8220402909999,0.79554375,0.7886557032804697,0.807475,0.7979544064875949,0.7955146405425684,0.874649658203125,validation_search,Linear SVM,char_wb,"(3, 5)",5.0,20000.0,,0.10158508399990751,0.030756458000041675,20001.0,1.0,0.7957121340799527,0.79554375,0.8027685648794355,0.7836125,0.7930748745975419,0.7886557032804697,0.807475,0.7979544064875949,,,,,,,,,,,,,,,,2026-04-26 04:23:19.126010+00:00,42,advanced_tweet_stem,mps
